pair,x,y,z,offset,residue,data_number,baseline
S2W2,3.3679054501955026,1.7567122923874863,9.878904455876432,10.584024680999997,[],1,10.584024680999997
S2W2,4.447038953059362,16.94516289884817,35.03192327126331,39.168231377000005,[],1,39.168231377000005
S2W2,2.352118220549844,1.6484824656508261,11.709116867617196,12.056258639499998,[],1,12.056258639499996
E1E2,-54.938526624300685,-36.218189228794145,3.1105664741568724,-10.644060663864973,[1.73958398e-10],6,65.87620634532536
E1E2,-51.678321743839895,-14.900610132870197,-20.567957694542073,-0.09138667649713739,[],2,57.58227161476093
E1E2,0.6483718685536219,-3.578694420658758,3.5106953316098113,5.054940310999998,[],1,5.054940310999998
E1E2,-0.38332376960966785,0.7956283131966526,-1.3246267876824827,-1.5920419754999957,[],1,1.5920419754999957
E1E2,-0.0985847846909298,-2.519276868114965,-8.7696037816994,-9.124824676999998,[],1,9.124824676999998
E1E2,-56.33248304930549,-29.225469870279333,-8.186117689390343,2.5321984430338205,[],3,63.9881962432404
E1W1,-300.40301987035514,-89.61518377541981,-4.876580010959401,-14.244061632962982,[1.93039431e-08],6,313.522944204941
E1W1,0.5495548424014878,-5.579437629018573,-17.62859908359797,-18.498638880500003,[],1,18.498638880500003
E1W1,-300.40907991876406,-89.61556379987888,-4.877494096731056,-14.244982092823001,[3.25821561e-09],5,313.5288735052518
E1W1,-300.44797302068696,-89.58732483594943,-4.067706722231151,-15.039966977718265,[],4,313.5465188795427
E1W1,-226.97204673761485,-126.63846057363014,-100.84775378237276,41.375600785067604,[],2,278.7900269731164
E1W1,-210.80770099209622,99.13920480110264,-5.0222167911324505,7.864587775154035,[],2,233.0100671380212
E1W1,-5.519014799057047,11.455288670338623,-19.07169715014364,-22.921884631500003,[],1,22.921884631500003
E1W1,-251.69841627807727,-94.16875613917176,-91.46431710667073,55.831522681879164,[],2,283.8759741392017
E1W2,-194.4232594952976,-106.59648988550006,6.371787010341713,24.39321073310672,[1.62031274e-08],6,221.81932999265533
E1W2,-0.060733142702527054,0.6166023034976299,1.9481954141487063,2.044346420499999,[],1,2.044346420499999
E1W2,-194.23088010273153,-36.72978814686808,-44.772993691037215,33.708371010846264,[],2,202.68037173553125
E1W2,-5.367810854629624,-41.212332000614666,43.11074937759464,59.88160330350001,[],1,59.881603303500015
E1W2,5.088796736508542,-28.087659832365947,27.553963724899468,39.674089832499995,[],1,39.67408983249999
